Ca-Ogg Vorbis-article.ogg	Gravació de l'article Ogg Vorbis de la Viquipèdia en català.	PD-self
Joan Francesc Mira - voice.ogg	Mostra de veu de Joan Francesc Mira, del programa "La Represa".	cc-by-sa-4.0
La Represa - Ràdio Godella - 07-07-2017.ogg	Entrevista amb Joan Francesc Mira a "La Represa", enregistrada al Museu Valencià d'Etnologia en febrer de 2017 i estrenada a Ràdio Godella el juliol del mateix any.	cc-by-sa-4.0
Seguidillas de Titaguas - 2 (8-A).ogg	Seguidillas interpretades per la Rondalla de Titaguas, en 1975.	CC-BY-SA 4.0
Seguidillas de Titaguas (8-A).ogg	Seguidillas interpretades per la Rondalla de Titaguas, en 1975.	CC-BY-SA 4.0
Toque de Bandúrria - Titaguas (8-A).ogg	Toc de Bandúrria interpretada pel Tío Pedro de la Rondalla de Titaguas.	CC-BY-SA 4.0
Jota de Baile - Titaguas (8-A).ogg	Jota de Ball representada per la Rondalla de Titaguas.	CC-BY-SA 4.0
Jota Parada - Titaguas (8-A).ogg	Jota Parada representada per la Rondalla de Titaguas.	CC-BY-SA 4.0
Toque de Guitarra - Titaguas -2 (8-A).ogg	Toc de Guitarra interpretat per la Rondalla de Titaguas.	CC-BY-SA 4.0
Toque de Guitarra - Titaguas (8-A).ogg	Toc de Guitarra interpretat per la Rondalla de Titaguas.	CC-BY-SA 4.0
En casa del señor cura - Fuenterrobles (8-A).ogg	En casa del señor cura, cançó infantil.	CC-BY-SA 4.0
El zarambú - Missa del gall - Fuenterrobles (8-A).ogg	El zarambú, nadala de la missa del gall.	CC-BY-SA 4.0
La virgen tiene corona - Jota parada - Macastre (8-A).ogg	La virgen tiene corona, jota parada de Macastre	CC-BY-SA 4.0
Presentació Josefa Sierra Broch - Macastre (8-A).ogg	Presentació de Josefa Sierra Broch	CC-BY-SA 4.0
Mi morena me ayudó - Canción de Trilla - Macastre (8-A).ogg	Mi morena me ayudó, canción de trilla de Macastre	CC-BY-SA 4.0
Tonada 2 - Jota de baile - Macastre (8-A).ogg	jota de baile de Macastre	CC-BY-SA 4.0
Tonada 1 - Jota de baile - Macastre (8-A).ogg	jota de baile de Macastre	CC-BY-SA 4.0
Valencianes de quintos - Macastre (8-A).ogg	Recull de valencianes de quintos de Macastre	CC-BY-SA 4.0
Yo entré un día a ver la Virgen - Jota parada - Macastre (8-A).ogg	Yo entré un día a ver la virgen, jota parada de Macastre	CC-BY-SA 4.0
Entrevista Rafael Soler, León - Colp a Colp 61.ogg	Entrevista amb León després d'anunciar la seua retirada.	CC-BY-SA 4.0
Entrevista Punxa - Colp a Colp 56.ogg	Entrevista a Àngel Gregori Roig, ''Punxa'', després de la lesió de desembre de 2016.	CC-BY-SA 4.0
La Represa - Ràdio Godella - 16-06-2017.ogg	Entrevista amb Toni Mollà, realitzada a Ràdio Godella.	cc-by-sa-4.0
La Represa - Ràdio Godella - 26-05-2017.ogg	Entrevista amb Eduard Mira, realitzada a Ràdio Godella.	cc-by-sa-4.0
Albaes - Macastre (8-A).ogg	Albaes, Macastre.	CC-BY-SA 4.0
Ana le dijo un día a San Antonio - Macastre (8-A).ogg	Romance, Macastre.	CC-BY-SA 4.0
El Séptimo Dolor - Macastre (8-A).ogg	Dolores de la Virgen, Macastre.	CC-BY-SA 4.0
El Uno (1) - Macastre (8-A).ogg	Canto de Lucimiento, Macastre.	CC-BY-SA 4.0
El Uno (2) - Macastre (8-A).ogg	Canto de Lucimiento, Macastre.	CC-BY-SA 4.0
Matraca - Macastre (8-A).ogg	Cançó infantil, Macastre.	CC-BY-SA 4.0
Nana - Macastre (8-A).ogg	Cançó de bressol, Macastre.	CC-BY-SA 4.0
Oración a la Virgen de Tejeda - Macastre (8-A).ogg	Oración de Ciegos, Macastre.	CC-BY-SA 4.0
Oración a la Virgen del Carmen - Macastre (8-A).ogg	Oración de ciegos, Macastre.	CC-BY-SA 4.0
Oración a San Antón - Macastre (8-A).ogg	Oración de ciegos, Macastre.	CC-BY-SA 4.0
Carmela o la Mala Suegra - Macastre (8-A).ogg	Romance, Macastre.	CC-BY-SA 4.0
La Represa - Ràdio Godella - 15-09-2017.ogg	Entrevista amb Carles Viñas	cc-by-sa-4.0
La Represa - Ràdio Godella - 22-09-2017.ogg	Programa extraordinari amb un debat entre Josep Sorribes i David Estal	cc-by-sa-4.0
Semis Individual Raspall 2017 - Colp a Colp 70.ogg	Resum de la primera semifinal i prèvia de la segona, per Jordi Coll i amb declaracions d'Ian entrgistrades per Ulisses Ortiz.	CC-BY-SA 4.0
La Represa - Ràdio Godella - 27-10-2017.ogg	Entrevista al periodista Quico Arabí.	cc-by-sa-4.0
Maria Abradelo - voice.ogg	Autopresentació de Maria Abradelo.	cc-by-sa-4.0
La Represa - Ràdio Godella - 03-11-2017.ogg	Entrevista amb Maria Abradelo.	cc-by-sa-4.0
Quico Arabí - voice.ogg	Autopresentació de Francesc Arabí	cc-by-sa-4.0
Maria Fuster - voice.ogg	Autopresentació de Maria Fuster	cc-by-sa-4.0
Joan Oleaque - voice.ogg	Autopresentació de Joan Oleaque.	cc-by-sa-4.0
Juliet d'Alginet, discurs com a fill predilecte.mp3	El 26-02-1999 Juliet d'Alginet va ser nomenat fill predilecte de la localitat. Ací està el breu discurs que feu.	cc-by-sa-4.0
Discurs de Juliet d'Alginet, 1999.mp3	El 26-02-1999 Juliet d'Alginet va ser nomenat fill predilecte de la localitat. Ací està el breu discurs que feu.	cc-by-sa-4.0
Cianovirina.oggtheora.ogv	Estructura tridimensional de Cianovirina-N	cc-by-sa-4.0
Vicent Olmos - voice.mp3	Autopresentació de Vicent Olmos, 67 edició de La Represa.	CC-BY-SA 4.0
La Represa - Ràdio Godella - 31-03-2017.mp3	Entrevista amb Vicent Olmos, 67 edició de La Represa.	CC-BY-SA 4.0
Martí Estruch i Axmacher - veu.ogg	veu de Martí Estruch i Axmacher enregistrada el març de 2021	cc-zero
Joe Jacobi - veu.ogg	Veu de l'esportista Joseph Bennet Jacobi, "Joe Jacobi", enregistrada el març de 2021 per al viquiprojecte de la Veu és Lliure	cc-0
Ignasi Doñate i Sanglas - veu.ogg	Veu d'Ignasi Doñate i Sanglas, advocat, polític i activista cultural català, enregistrada el març de 2021	cc-zero
Héctor López Bofill - veu.ogg	Veu d'Héctor López Bofill, jurista i escriptor català, enregistrada el febrer de 2021	cc-zero
Júlia - "El mecanoscrit" - 02 "El mecanoscrit".ogg	Júlia - "El mecanoscrit" - 02 "El mecanoscrit"	cc-by-sa-3.0
Júlia - "El mecanoscrit" - 01 "Illes".ogg	Júlia - "El mecanoscrit" - 01 "Illes"	cc-by-sa-3.0
Júlia - "El mecanoscrit" - 03 "Era glacial".ogg	Júlia - "El mecanoscrit" - 03 "Era glacial"	cc-by-sa-3.0
Júlia - "El mecanoscrit" - 04 "El desert d'Amphibia".ogg	Júlia - "El mecanoscrit" - 04 "El desert d'Amphibia"	cc-by-sa-3.0
Júlia - "El mecanoscrit" - 05 "Turbo Somnis".ogg	Júlia - "El mecanoscrit" - 05 "Turbo Somnis"	cc-by-sa-3.0
Júlia - "El mecanoscrit" - 07 "Alpino".ogg	Júlia - "El mecanoscrit" - 07 "Alpino"	cc-by-sa-3.0
Júlia - "El mecanoscrit" - 06 "Terranova".ogg	Júlia - "El mecanoscrit" - 06 "Terranova"	cc-by-sa-3.0
Waldo Vila - voice.mp3	Voice Intro Project de Waldo	cc-by-sa-4.0
Nerea Sanfe - voice.mp3	Autopresentació de Nerea Sanfe	cc-by-sa-4.0
Carles Porta i Gaset - veu.ogg	Veu de Carles Porta i Gaset, periodista i escriptor català, enregistrada l'abril de 2021	cc-zero
Manèl Zabala Sánchez - veu.ogg	Veu de Manèl Zabala Sánchez, periodista, escriptor i traductor, enregistrada el maig de 2021	cc-zero
De mon camí.ogg	Selecció de poemes. Remei Morlius.	cc-by-sa-4.0
Feliu Formosa i Torres - veu.ogg	Veu de Feliu Formosa i Torres, escriptor, poeta, traductor i actor català, enregistrada el maig de 2021	cc-zero
Tractat del Pet.ogg	Tractat del Pet_Obres festives	cc-by-sa-4.0
Epístola a un amic, de Francesc Vicent Garcia i Ferrandis (dècima 6).ogg	Tall de veu de la dècima 6 de l'obra «Epístola a un amic», de Francesc Vicent Garcia i Ferrandis (s. XVII). Enregistrat per Francesc Xavier Dengra i Grau per al projecte Viquitexts, en la campanya «Donants de veu» de la primavera de 2021.	cc-by-sa-4.0
Epístola a un amic, de Francesc Vicent Garcia i Ferrandis (dècima 9).ogg	Tall de veu de la dècima 9 de l'obra «Epístola a un amic», de Francesc Vicent Garcia i Ferrandis (s. XVII). Enregistrat per Francesc Xavier Dengra i Grau per al projecte Viquitexts, en la campanya «Donants de veu» de la primavera de 2021.	cc-by-sa-4.0
Epístola a un amic, de Francesc Vicent Garcia i Ferrandis (dècima 5).ogg	Tall de veu de la dècima 5 de l'obra «Epístola a un amic», de Francesc Vicent Garcia i Ferrandis (s. XVII). Enregistrat per Francesc Xavier Dengra i Grau per al projecte Viquitexts, en la campanya «Donants de veu» de la primavera de 2021.	cc-by-sa-4.0
Epístola a un amic, de Francesc Vicent Garcia i Ferrandis (dècima 12).ogg	Tall de veu de la dècima 12 de l'obra «Epístola a un amic», de Francesc Vicent Garcia i Ferrandis (s. XVII). Enregistrat per Francesc Xavier Dengra i Grau per al projecte Viquitexts, en la campanya «Donants de veu» de la primavera de 2021.	cc-by-sa-4.0
Epístola a un amic, de Francesc Vicent Garcia i Ferrandis (dècima 10).ogg	Tall de veu de la dècima 10 de l'obra «Epístola a un amic», de Francesc Vicent Garcia i Ferrandis (s. XVII). Enregistrat per Francesc Xavier Dengra i Grau per al projecte Viquitexts, en la campanya «Donants de veu» de la primavera de 2021.	cc-by-sa-4.0
Epístola a un amic, de Francesc Vicent Garcia i Ferrandis (dècima 13).ogg	Tall de veu de la dècima 13 de l'obra «Epístola a un amic», de Francesc Vicent Garcia i Ferrandis (s. XVII). Enregistrat per Francesc Xavier Dengra i Grau per al projecte Viquitexts, en la campanya «Donants de veu» de la primavera de 2021.	cc-by-sa-4.0
Epístola a un amic, de Francesc Vicent Garcia i Ferrandis (dècima 16).ogg	Tall de veu de la dècima 16 de l'obra «Epístola a un amic», de Francesc Vicent Garcia i Ferrandis (s. XVII). Enregistrat per Francesc Xavier Dengra i Grau per al projecte Viquitexts, en la campanya «Donants de veu» de la primavera de 2021.	cc-by-sa-4.0
Epístola a un amic, de Francesc Vicent Garcia i Ferrandis (dècima 18).ogg	Tall de veu de la dècima 18 de l'obra «Epístola a un amic», de Francesc Vicent Garcia i Ferrandis (s. XVII). Enregistrat per Francesc Xavier Dengra i Grau per al projecte Viquitexts, en la campanya «Donants de veu» de la primavera de 2021.	cc-by-sa-4.0
Epístola a un amic, de Francesc Vicent Garcia i Ferrandis (dècima 15).ogg	Tall de veu de la dècima 15 de l'obra «Epístola a un amic», de Francesc Vicent Garcia i Ferrandis (s. XVII). Enregistrat per Francesc Xavier Dengra i Grau per al projecte Viquitexts, en la campanya «Donants de veu» de la primavera de 2021.	cc-by-sa-4.0
Epístola a un amic, de Francesc Vicent Garcia i Ferrandis (dècima 35).ogg	Tall de veu de la dècima 35 de l'obra «Epístola a un amic», de Francesc Vicent Garcia i Ferrandis (s. XVII). Enregistrat per Francesc Xavier Dengra i Grau per al projecte Viquitexts, en la campanya «Donants de veu» de la primavera de 2021.	cc-by-sa-4.0
Epístola a un amic, de Francesc Vicent Garcia i Ferrandis (dècima 45).ogg	Tall de veu de la dècima 45 de l'obra «Epístola a un amic», de Francesc Vicent Garcia i Ferrandis (s. XVII). Enregistrat per Francesc Xavier Dengra i Grau per al projecte Viquitexts, en la campanya «Donants de veu» de la primavera de 2021.	cc-by-sa-4.0
Epístola a un amic, de Francesc Vicent Garcia i Ferrandis (dècima 51).ogg	Tall de veu de la dècima 51 de l'obra «Epístola a un amic», de Francesc Vicent Garcia i Ferrandis (s. XVII). Enregistrat per Francesc Xavier Dengra i Grau per al projecte Viquitexts, en la campanya «Donants de veu» de la primavera de 2021.	cc-by-sa-4.0
Epístola a un amic, de Francesc Vicent Garcia i Ferrandis (dècima 65).ogg	Tall de veu de la dècima 65 de l'obra «Epístola a un amic», de Francesc Vicent Garcia i Ferrandis (s. XVII). Enregistrat per Francesc Xavier Dengra i Grau per al projecte Viquitexts, en la campanya «Donants de veu» de la primavera de 2021.	cc-by-sa-4.0
Epístola a un amic, de Francesc Vicent Garcia i Ferrandis (dècima 66).ogg	Tall de veu de la dècima 66 de l'obra «Epístola a un amic», de Francesc Vicent Garcia i Ferrandis (s. XVII). Enregistrat per Francesc Xavier Dengra i Grau per al projecte Viquitexts, en la campanya «Donants de veu» de la primavera de 2021.	cc-by-sa-4.0
Mestre Olaguer, d'Àngel Guimerà (1896; portada).ogg	Tall de veu de la portada de «Mestre Olaguer», d'Àngel Guimerà i Jorge (1896). Enregistrat per Francesc Xavier Dengra i Grau per al projecte Viquitexts, en la campanya «Donants de veu» de la primavera de 2021.	cc-zero
Mestre Olaguer, d'Àngel Guimerà (1896; avís legal).ogg	Tall de veu de l'avís legal de l'obra «Mestre Olaguer», d'Àngel Guimerà i Jorge (1896). Enregistrat per Francesc Xavier Dengra i Grau per al projecte Viquitexts, en la campanya «Donants de veu» de la primavera de 2021.	cc-zero
Mestre Olaguer, d'Àngel Guimerà (1896; obra central).ogg	Tall de veu del monòleg complet de «Mestre Olaguer», d'Àngel Guimerà i Jorge (1896). Enregistrat per Francesc Xavier Dengra i Grau per al projecte Viquitexts, en la campanya «Donants de veu» de la primavera de 2021.	cc-zero
Café Montcau - Carmelina Sánchez-Cutillas (23-05-2008).ogg	Entrevista amb Carmelina Sánchez Cutillas, realitzada per Joan Borja el 23 de maig de 2008	cc-by-sa-4.0
Ayoransa, de Victòria Peña i Nicolau (1859).ogg	Tall de veu d'«Anyoransa», de Victòria Peña i Nicolau a l'obra «Jochs Florals de Barcelona en 1859». Enregistrat per Francesc Xavier Dengra i Grau per al projecte Viquitexts, en la campanya «Donants de veu» de la primavera de 2021.	cc-zero
La Creu de Cristo, d'Isabel de Villamartín.ogg	Tall de veu de «La Veu de Cristo», d'Isabel Villamartín a l'obra «Jochs Florals de Barcelona en 1861». Enregistrat per Francesc Xavier Dengra i Grau per al projecte Viquitexts, en la campanya «Donants de veu» de la primavera de 2021.	cc-zero
Una tarda per mar, de Joaquim Ruyra.ogg	Aquesta és la primera narració del llibre "Impressions", dins del volum "Pinya de rosa", publicat l'any 1920. Conta l'experiència d'un noi que en comptes d'anar a classe s'escapa amb una colla d'amics per anar a pescar amb la barca.	cc-by-sa-4.0
Plaça de l'Ajuntament de Calella-Catalunya.ogg	Plaça de l'Ajuntament de Calella-Catalunya en un dia de pluja.	cc-by-sa-4.0
Plaça de Catalunya (Calella-Catalunya) 01.ogg	Plaça de Catalunya (Calella-Catalunya)	cc-by-sa-4.0
No em pren així com el petit vailet - Anna Ruiz.mp3	Lectura del poema ''No em pren així com el petit vailet'', d'Ausiàs March	cc-by-sa-4.0
Si com lo taur sen va fruit pel desert - Anna Ruiz.mp3	Lectura del poema ''Si com lo taur sen va fruit pel desert'', d'Ausiàs March	cc-by-sa-4.0
Ruïnes de la Calella romana.ogg	Ruïnes de la Calella romana. Vídeo des del sud de les ruïnes en direcció nord.	cc-by-sa-4.0
Isabel de Galceran. Capítol 1.ogg	Enregistrament del capítol 1 d'Isabel de Galceran de Narcís Oller en el marc del Projecte "Donants de veu". https://ca.wikisource.org/wiki/Isabel_de_Galceran. Lectura en 6 arxius, essent aquest el primer de sis.	cc-by-sa-4.0
Isabel de Galceran. Capítol 3.ogg	Enregistrament del capítol 3 d'Isabel de Galceran de Narcís Oller en el marc del Projecte "Donants de veu". https://ca.wikisource.org/wiki/Isabel_de_Galceran. Lectura en 6 arxius, essent aquest el tercer de sis.	cc-by-sa-4.0
Isabel de Galceran. Capítol 2.ogg	Enregistrament del capítol 2 d'Isabel de Galceran de Narcís Oller en el marc del Projecte "Donants de veu". https://ca.wikisource.org/wiki/Isabel_de_Galceran. Lectura en 6 arxius, essent aquest el segon de sis.	cc-by-sa-4.0
Isabel de Galceran. Capítol 4.ogg	Enregistrament del capítol 4 d'Isabel de Galceran de Narcís Oller en el marc del Projecte "Donants de veu". https://ca.wikisource.org/wiki/Isabel_de_Galceran. Lectura en 6 arxius, essent aquest el quart de sis.	cc-by-sa-4.0
Isabel de Galceran. Capítol 6.ogg	Enregistrament del capítol 6 d'Isabel de Galceran de Narcís Oller en el marc del Projecte "Donants de veu". https://ca.wikisource.org/wiki/Isabel_de_Galceran. Lectura en 6 arxius, essent aquest el sisè de sis.	cc-by-sa-4.0
Isabel de Galceran. Capítol 5.ogg	Enregistrament del capítol 5 d'Isabel de Galceran de Narcís Oller en el marc del Projecte "Donants de veu". https://ca.wikisource.org/wiki/Isabel_de_Galceran. Lectura en 6 arxius, essent aquest el cinquè de sis.	cc-by-sa-4.0
"Lo jorn ha por de perdre sa claror" d'Ausiàs March.ogg	Col·laboració per augmentar els clàssics en català en audiolectures.	PD-US-expired
"Colguen les gents amb alegria festes" d'Ausiàs March.ogg	Col·laboració per augmentar els clàssics en català en audiolectures.	PD-US-expired
"Lleixant a part l'estil dels trobadors" d'Ausiàs March.ogg	Col·laboració per augmentar els clàssics en català en audiolectures.	PD-US-expired
"Quins tan segurs consells vas encercant" d'Ausiàs March.ogg	Col·laboració per augmentar els clàssics en català en audiolectures.	PD-US-expired
"Així com cell qui en lo somni es delita" d'Ausiàs March.ogg	Col·laboració per augmentar els clàssics en català en audiolectures.	PD-US-expired
"No em fall record de temps tan delitós" d'Ausiàs March.ogg	Col·laboració per augmentar els clàssics en català en audiolectures.	PD-US-expired
"Veles e vents han mos desigs complir" d'Ausiàs March.ogg	Col·laboració per augmentar els clàssics en català en audiolectures.	PD-US-expired
"A Mallorca, durant la guerra civil" complet.ogg	Lectura de "A Mallorca, durant la guerra civil", de Bartomeu Rosselló-Pòrcel, per Elisabeth Torrescassana i Marcé	cc-by-sa-4.0
Joan Reig i Solé - veu.ogg	Veu de Joan Reig i Solé, músic català, enregistrada el 4 d'agost de 2021.	cc-zero
Dolors Sabater parlant de les ruïnes de la Calella romana, 2021.ogg	Dolors Sabater, 2021 en una roda premsa feta al Parc Dalmau sobre les ruïnes de la Calella romana	cc-by-sa-4.0
Jessica González Herrera a Calella.ogg	Jessica González Herrera fent una roda de premsa al Parc Dalmau de Calella, recolzant la campanya per la recuperació de la Calella romana.	cc-by-sa-4.0
La Papallona capítol 02 àudio.ogg	La Papallona. Àudio de la novel·la de Marià Vayreda i Vila extreta de Librivox i narrada per jpujolar	cc-zero
La Papallona capítol 03 àudio.ogg	La Papallona. Àudio de la novel·la de Marià Vayreda i Vila extreta de Librivox i narrada per jpujolar	cc-zero
La Papallona capítol 01 àudio.ogg	La Papallona. Àudio de la novel·la de Marià Vayreda i Vila extreta de Librivox i narrada per jpujolar	cc-zero
La Papallona capítol 04 àudio.ogg	La Papallona. Àudio de la novel·la de Marià Vayreda i Vila extreta de Librivox i narrada per jpujolar	cc-zero
La Papallona capítol 05 àudio.ogg	La Papallona. Àudio de la novel·la de Marià Vayreda i Vila extreta de Librivox i narrada per jpujolar	cc-zero
La Papallona capítol 06 àudio.ogg	La Papallona. Àudio de la novel·la de Marià Vayreda i Vila extreta de Librivox i narrada per jpujolar	cc-zero
La Papallona capítol 07 àudio.ogg	La Papallona. Àudio de la novel·la de Marià Vayreda i Vila extreta de Librivox i narrada per jpujolar	cc-zero
La Papallona capítol 09 àudio.ogg	La Papallona. Àudio de la novel·la de Marià Vayreda i Vila extreta de Librivox i narrada per jpujolar	cc-zero
La Papallona capítol 08 àudio.ogg	La Papallona. Àudio de la novel·la de Marià Vayreda i Vila extreta de Librivox i narrada per jpujolar	cc-zero
La Papallona capítol 10 àudio.ogg	La Papallona. Àudio de la novel·la de Marià Vayreda i Vila extreta de Librivox i narrada per jpujolar	cc-zero
La Papallona capítol 11 àudio.ogg	La Papallona. Àudio de la novel·la de Marià Vayreda i Vila extreta de Librivox i narrada per jpujolar	cc-zero
La Papallona capítol 12 àudio.ogg	La Papallona. Àudio de la novel·la de Marià Vayreda i Vila extreta de Librivox i narrada per jpujolar	cc-zero
La Papallona capítol 13 àudio.ogg	La Papallona. Àudio de la novel·la de Marià Vayreda i Vila extreta de Librivox i narrada per jpujolar	cc-zero
La Papallona capítol 14 àudio.ogg	La Papallona. Àudio de la novel·la de Marià Vayreda i Vila extreta de Librivox i narrada per jpujolar	cc-zero
La Papallona capítol 15 àudio.ogg	La Papallona. Àudio de la novel·la de Marià Vayreda i Vila extreta de Librivox i narrada per jpujolar	cc-zero
La Papallona capítol 16 àudio.ogg	La Papallona. Àudio de la novel·la de Marià Vayreda i Vila extreta de Librivox i narrada per jpujolar	cc-zero
La Papallona capítol 17 àudio.ogg	La Papallona. Àudio de la novel·la de Marià Vayreda i Vila extreta de Librivox i narrada per jpujolar	cc-zero
La Papallona capítol 18 àudio.ogg	La Papallona. Àudio de la novel·la de Marià Vayreda i Vila extreta de Librivox i narrada per jpujolar	cc-zero
La Papallona capítol 19 àudio.ogg	La Papallona. Àudio de la novel·la de Marià Vayreda i Vila extreta de Librivox i narrada per jpujolar	cc-zero
La Papallona capítol 20 àudio.ogg	La Papallona. Àudio de la novel·la de Marià Vayreda i Vila extreta de Librivox i narrada per jpujolar	cc-zero
De quan les besties parlaven-2 La cigonya, la llebre i el cocodril.ogg	Segon capítol de l'obra.	cc-zero
De quan les bèsties parlaven-1 El cèrvol i la tortuga.ogg	Primer capítol de l'obra	cc-zero
De quan les besties parlaven-3 L elefant i el borinot.ogg	Tercer capítol de l'obra.	cc-zero
De quan les besties parlaven-4 El camell, el dromedari i la daina.ogg	Quart capítol de l'obra.	cc-zero
De quan les besties parlaven-6 El gat i la rata.ogg	Sisè capítol de l'obra.	cc-zero
De quan les besties parlaven-5 El paó, l oca, la rata sàvia i les gallines aduladores.ogg	Cinquè capítol de l'obra.	cc-zero
De quan les bèsties parlaven-7 Rat-penat gran i Rat-penat xic.ogg	Setè capítol de l'obra.	cc-zero
De quan les bèsties parlaven-9 L òliba i el gos de Sant Roc.ogg	Novè capítol de l'obra.	cc-zero
De quan les bèsties parlaven-10 Les zebres i el cavallet.ogg	Desè capítol de l'obra.	cc-zero
De quan les bèsties parlaven-8 El peix espasa, el tauró i els peixos mofeta.ogg	Vuitè capítol de l''obra.	cc-zero
De quan les bèsties parlaven-11 El lleó del desert i l ossa de les neus.ogg	Últim capítol de l'obra.	cc-zero
Mona Hatoum - voice.mp3	Voice Intro Project de Mona Hatoum (editat per llevar soroll de fons)	cc-by-sa-4.0
Mona Hatoum - voice (2).mp3	Voice Intro Project de Mona Hatoum (sense editar)	cc-by-sa-4.0
Antoni Miró - voice.mp3	Voice Intro project d'Antoni Miró	cc-by-sa-4.0
Hon és lo lloch on ma pensa repose - Anna Ruiz.mp3	Lectura del poema ''Hon és lo lloch on ma pensa repose'', d'Ausiàs March	cc-by-sa-4.0
Guillermo Ros - IVAM 2021.mp3	Guillermo Ros parla de la seua exposició a l'IVAM.	CC-BY-SA 4.0
Guillermo Ros - voice - ca.mp3	Voice Intro project de Guillermo Ros.	CC-BY-SA 4.0
Guillermo Ros - voice - es.mp3	Voice Intro project de Guillermo Ros.	CC-BY-SA 4.0
Representació a la Fira Medieval de Calella 2021.ogg	Representació a la Fira Medieval de Calella 2021 a la plaça de l'Església.	cc-by-sa-4.0
Srdjan Dragojevic - voice.mp3	Voice Intro project de Srdjan Dragojevic, enregistrada a la Mostra de Cinema del 2021	cc-by-sa-4.0
Jota valenciana a les Jornades Internacionals Folklòriques de Catalunya a Calella (vídeo).ogg	Jota valenciana a les Jornades Internacionals Folklòriques de Catalunya a Calella (per una màxima resolució seleccioneu ''font ogg'' del desplegable que apareix en clicar la icona de la flor en la barra de visualització de baix del vídeo)	cc-by-sa-4.0
Sergi Castillo - voice.mp3	Veu de Sergi Castillo	cc-by-sa-4.0
Irene Rodrigo - voice.mp3	Voice Intro Project d'Irene Rodrigo	cc-by-sa-4.0
Copeo d'Ontinyent a les Jornades Internacionals Folklóriques de Catalunya a Calella.ogg	Copeo d'Ontinyent a les Jornades Internacionals Folklóriques de Catalunya a Calella	cc-by-sa-4.0
Dansa d'Equador a les Jornades Internacionals Folklóriques de Catalunya a Calella.ogg	Dansa d'Equador a les Jornades Internacionals Folklóriques de Catalunya a Calella	cc-by-sa-4.0
ClimentBarber.20161129.EpistolesFarcides.ogg	Mn Climent i Barber descriu la Epístola farcida Sant Esteve	cc-by-sa-4.0
Sabadell Airport - Plane decelerates after landing.ogg	Una avioneta redueix gradualment la seva velocitat després d'aterrar a l'Aeroport de Sabadell.	cc-by-sa-4.0
Saray Cerro - voice.mp3	Voice Intro de Saray Cerro	cc-by-sa-4.0
La Represa - Ràdio Godella - 14-01-2022.mp3	Entrevista a Saray Cerro en La Represa, gener del 2022	cc-by-sa-4.0
Pau Vidal Gavilán - veu.ogg	Veu de Pau Vidal Gavilán, filòleg, traductor i escriptor català, enregistrada el gener de 2022	cc-zero
Fandango d'Aiora.ogg	Fandango d'Aiora a Calella en les Jornades internacionals Folklòriques de Catalunya.	cc-by-sa-4.0
Els Segadors (Instrumental).ogg	Versió Instrumental Oficial dels Segadors	cc-zero
La Balanguera.ogg	La Balanguera	cc-zero
Ricard Soler Roger (veu).ogg	Mostra de veu de Ricard Soler Roger	cc-by-sa-4.0
SenyorOca (veu).ogg	Mostra de veu de Sergi Sala (Senyor Oca)	cc-zero
Fran Rodríguez Grau (veu).ogg	Mostra de veu de Fran Rodríguez Grau	cc-zero
Carles Prats Padrós (veu).ogg	Mostra de veu de Carles Prats Padrós.	cc-zero
Maria Sevilla Paris (veu).ogg	Mostra de veu de Maria Sevilla Paris.	cc-zero
Albert Roig Antó (veu).ogg	Mostra de veu d'Albert Roig Antó.	cc-zero
Joana Vilapuig (veu).ogg	Mostra de veu de Joana Vilapuig Borrell.	cc-zero
Lluís Soler (veu).ogg	Mostra de veu de Lluís Soler Auladell.	cc-zero
Ferran Palau (veu).ogg	Mostra de veu de Ferran Palau.	cc-zero
Marc Balaguer (veu).ogg	Mostra de veu de Marc Balaguer Roca.	cc-zero
Pere Escobar (veu).ogg	Mostra de veu de Pere Escobar Royo.	cc-zero
Neus Bonet (veu).ogg	Mostra de veu de Neus Bonet Bagant.	cc-zero
Ferran Audí (veu).ogg	Mostra de veu de Ferran Audí.	cc-zero
Damià Rodríguez (veu).ogg	Mostra de veu de Damià Rodríguez.	cc-zero
Salvador Vergés Cubí (veu).ogg	Mostra de veu de Salvador Vergés Cubí.	cc-zero
Guim Valls (veu).ogg	Mostra de veu de Guim Valls.	cc-zero
Quintí Cristià (veu).ogg	Mostra de veu de Quintí Cristià.	cc-zero
Daura Mangara (veu).ogg	Mostra de veu de Daura Mangara.	cc-zero
Jordi Prat i Coll (veu).ogg	Mostra de veu de Jordi Prat i Coll.	cc-zero
Adolfo Obiang Biko - voice.mp3	Voice Intro d'Adolfo Obiang Biko	cc-by-sa-4.0
Oriol Sauleda (veu).ogg	Mostra de veu d'Oriol Sauleda.	cc-zero
La Represa - Ràdio Godella - 11-02-2022.mp3	Entrevista a Adolfo Obiang Biko	cc-by-sa-4.0
Motacilla cinerea in Sant Cugat del Valles 20220212.ogg	Cant de Cuereta Torrentera (Motacilla cinerea)	cc-by-sa-4.0
Lia Ibáñez (veu).ogg	Mostra de veu de Lia Ibáñez.	cc-zero
Magalí Sare (veu).ogg	Mostra de veu de Magalí Sare.	cc-zero
Magda Puyo (veu).ogg	Mostra de veu de Magda Puyo Bové.	cc-zero
Victoria Szpunberg (veu).ogg	Mostra de veu de Victoria Szpunberg Witt.	cc-zero
