Ca-Ogg Vorbis-article.ogg	Gravació de l'article Ogg Vorbis de la Viquipèdia en català.	PD-self
02 Així és mon esperit.ogg	Poesia de Joan Arús	cc-by-sa-4.0
40 Equivoc fresseig.ogg	Poesia de Joan Arús	cc-by-sa-4.0
27 Petjades.ogg	Poesia de Joan Arús	cc-by-sa-4.0
51 Cap al bosc.ogg	Poesia de Joan Arús	cc-by-sa-4.0
57 La casa pairal.ogg	Poesia de Joan Arús	cc-by-sa-4.0
68 Autoal·legoria.ogg	Poesia de Joan Arús	cc-by-sa-4.0
Francesc Grau - veu.ogg	Veu de'n Francesc Grau	cc-by-sa-4.0
VX - Krakatoa (Sense Pietat 2013).ogg	Cançó "Krakatoa" de la Demo (tercer treball) d'VX, "Sense Pietat".	cc-by-sa-3.0
VX - Sense Pietat (Sense Pietat 2013).ogg	Cançó "Sense Pietat" de la Demo (tercer treball) d'VX, "Sense Pietat".	cc-by-sa-3.0
Pérotin - sederunt principes.ogg	compassos 107 al 116 del sederunt principes de Pérotin	cc-by-sa-4.0
Beata virgine Des Prez.ogg	Beata virgine Des Prez	cc-by-sa-4.0
La Represa - Ràdio Godella - 9-10-2015.ogg	Programa pilot de la represa. Entrevista a Vicent Baydal	cc-by-sa-4.0
Vicent Baydal i Sala - voice.ogg	Mostra de veu de Vicent Baydal	cc-by-sa-4.0
La Represa - Ràdio Godella - 16-10-2015.ogg	Segon programa de la represa. Entrevista a Amadeu Mezquida	cc-by-sa-4.0
Kalebarraka - 09 07 2014 - Entrevista Mònica Oltra.ogg	Programa del 9 de juliol de 2014, amb entrevista a Mònica Oltra, de Compromís.	cc-by-sa-4.0
Kalebarraka - 19 11 2014 - Entrevista Josep Nadal.ogg	Programa del 19 de novembre de 2014, amb entrevista pre-electoral a Josep Nadal, contant de la Gossa Sorda i candidat de Compromís.	cc-by-sa-4.0
Kalebarraka - 22 10 2014 - Entrevista Eugeni Alemany.ogg	Programa del 22 d'octubre de 2014, amb Eugeni Alemany.	cc-by-sa-4.0
Kalebarraka - 10 12 2014 - Entrevista Miquel Gil.ogg	Entrevista al cantant Miquel Gil.	cc-by-sa-4.0
Toni de l'Hostal - voice.ogg	Mostra de veu de Toni de l'Hostal	cc-by-sa-4.0
Tio Pep - Toni de l'Hostal.ogg	Interpretació de Toni de l'Hostal de la cançó popular "El Tio Pep". Versió country.	cc-by-sa-4.0
La Represa - Ràdio Godella - 23-10-2015.ogg	Tercer programa de la represa. Entrevista a Toni de l'Hostal	cc-by-sa-4.0
Vicent Chilet - voice.ogg	Mostra de veu de l'escriptor i periodista Vicent Chilet	cc-by-sa-4.0
La Represa - Ràdio Godella - 13-11-2015.ogg	Entrevista a Quico Soro	cc-by-sa-4.0
Quico Soro - voice.ogg	Mostra de veu del pilotaire Francesc Soro	cc-by-sa-4.0
La Represa - Ràdio Godella - 06-11-2015.ogg	Entrevista a Vicent Chilet	cc-by-sa-4.0
Contrapunt dissonant.ogg	Contrapunt dissonant	cc-by-sa-4.0
Kalebarraka - 28 10 2015 - Entrevista Ignacio Blanco.ogg	Programa del 28 d'octubre de 2015, amb entrevista a Ignacio Blanco.	cc-by-sa-4.0
Agustí Cerdà - voice.ogg	Seté programa de la represa. Entrevista a Agustí Cerdà.	cc-by-sa-4.0
La Represa - Ràdio Godella - 20-11-2015.ogg	Seté programa de la represa. Entrevista a Agustí Cerdà.	cc-by-sa-4.0
Josep Lluís Albinyana - voice.ogg	Mostra de veu de Josep Lluís Albinyana	cc-by-sa-4.0
La Represa - Ràdio Godella - 27-11-15.ogg	Huitena i desena entrevista de La Represa. Programa complet. Entrevista a Josep LLuís Albinyana	cc-by-sa 4.0
La Represa - Ràdio Godella - 19-12-15.ogg	Onzena entrevista de La Represa. Entrevista a Ferran Martínez	cc-by-sa-4.0
Carles Solà i Ferrando (veu).ogg	Nota de veu d'en Carles Solà Ferrando.	cc-by-sa-4.0
La Represa - Ràdio Godella - 08-01-2016.ogg	Entrevista amb Antoni Laguna	cc-by-sa-4.0
Eugeni Alemany - voice.ogg	Mostra de veu a l'artista, guionista i "comboiante" Eugeni Alemany	cc-by-sa-4.0
La Represa - Ràdio Godella - 05-02-2016.ogg	Entrevista a Andrés Boix Palop, jurista i fundador de La Página Definitiva	cc-by-sa-4.0
La Represa - Ràdio Godella - 12-02-2016.ogg	Entrevista al pedagog Josep Chaqués, fundador d'Escola Valenciana	cc-by-sa-4.0
La Represa - Ràdio Godella - 4-03-2016.ogg	Entrevista a Francesc Ferrandis, ideòleg del PVN	cc-by-sa-4.0
La Represa - Ràdio Godella - 26-02-2016.ogg	Entrevista amb Pepe Martínez Tormo	cc-by-sa-4.0
La Represa - Ràdio Godella - 18-03-2016.ogg	Entrevista amb Abelard Saragossà	cc-by-sa-3.0
La Represa - Ràdio Godella - 15-01-2016.ogg	Entrevista a Vicent Flor	cc-by-sa-3.0
Josep Almudéver - voice.ogg	Mostra de veu de Josep Almudéver Mateu (''né'' Joseph Eduard Almudever).	cc-by-sa-4.0
Marta Sorlí - voice.ogg	Autopresentació de Marta Sorlí	cc-by-sa-4.0
La Represa - Ràdio Godella - 29-04-2016.ogg	Entrevista amb Marta Sorlí de La Represa, emesa el 29 d'abril de 2016	cc-by-sa-4.0
Josep Chaqués - voice.ogg	Autopresentació de Josep Chaqués a La Represa	cc-by-sa-4.0
La Represa - Ràdio Godella - 22-04-2016.ogg	Entrevista amb Miquel Nadal i Tàrrega en motiu del dia del llibre i la publicació del seu llibre "inventari mínim".	cc-by-sa-4.0
Miquel Nadal - voice.ogg	Entrevista amb Miquel Nadal i Tàrrega en motiu del dia del llibre i la publicació del seu llibre "inventari mínim".	cc-by-sa-4.0
La Represa - Ràdio Godella - 13-05-2016.ogg	Entrevista amb Josep Almudéver, veterà de la Guerra Civil Espanyola, i amb Toni Simó, historiador d'Alcàsser especialitzat en la seua figura.	cc-by-sa-4.0
Abelard Saragossà - voice.ogg	Mostra de veu d'Abelard Saragossà	cc-by-sa-4.0
Toni Mollà - Llista Fabregat.ogg	Entrevista a Toni Mollà, La Represa. Parla sobre la realització de la "Llista Fabregat".	cc-by-sa-4.0
La Represa - Ràdio Godella - 20-05-2016.ogg	Entrevista a Toni Mollà, La Represa	cc-by-sa-4.0
